quotes,authors
"My mom is the most positive person. She has always had a smile on her face no matter what came her way. After seeing that, I'm not going to let a little cellulite get in the way of my happiness!",Ashley Graham
I can't be told life is beautiful through a normal positive thinking book or a Hallmark movie; that language doesn't work for me.,James Gunn
"I think regardless of what your religion is or what you believe, you try to treat people in a positive way, and that's all you can do in life.",Scott Eastwood
"Instead of drifting along like a leaf in a river, understand who you are and how you come across to people and what kind of an impact you have on the people around you and the community around you and the world, so that when you go out, you can feel you have made a positive difference.",Jane Fonda
Mentality is where the success is. I will teach the kids how to think in a positive way.,Eliud Kipchoge
"It is as if my life were magically run by two electric currents: joyous positive and despairing negative - whichever is running at the moment dominates my life, floods it.",Sylvia Plath
"In this world, you can choose to be positive, or you can choose to be negative. You can choose to see things through a set of eyes that sees good, or you can choose to see things in life that aren't so good.",Jack Harbaugh
"The Universal Zulu Nation stands to acknowledge wisdom, understanding, freedom, justice, and equality, peace, unity, love, and having fun, work, overcoming the negative through the positive, science, mathematics, faith, facts, and the wonders of God, whether we call him Allah, Jehovah, Yahweh, or Jah.",Afrika Bambaataa
"A positive attitude is not going to save you. What it's going to do is, everyday, between now and the day you die, whether that's a short time from now or a long time from now, that every day, you're going to actually live.",Elizabeth Edwards
"By forgiving, we are training ourselves to be strong, confident, joyful, peaceful, happy, and loving. These positive attributes end up affecting every part of our lives.",Paul J. Meyer
"The more you drive positive change, the more enhanced your business model.",Anand Mahindra
"On the field, aggression can sometimes be a positive emotion. It boosts performance and can lift your game. But over the years, I have learnt that restrained aggression is a better animal. That way, you will conserve your energy and won't spend yourself quickly.",Virat Kohli
"What I strive for is that everywhere I go, I leave a positive impact.",Clarence Seedorf
"We all go through things in life, and it's just how you deal with it. Try to stay positive throughout the worst.",Phil Heath
"I think there is pressure on people to turn every negative into a positive, but we should be allowed to say, 'I went through something really strange and awful and it has altered me forever.'",Marian Keyes
"It's not the situation, but whether we react negative or respond positive to the situation that is important.",Zig Ziglar
I think we always need to see the positive.,Charles Leclerc
"Many big and small things happen in our lives, almost on daily basis, and I hope that everyone would not lose the trust that they have in themselves, and never lose positive attitude.",Gong Hyo-jin
"The world is a slightly better place for having improvisation in it than it was before. There's something about it that says something positive about the human spirit, that a bunch of people can get together and by following a few simple traffic rules can create art and can entertain an audience and can thrill and exalt each other.",Del Close
"My grades put me in about 5,000th place in all of South Korea. If I kept going down that path, I would've become a successful man with a regular job. However, I was positive I'd be number one in the country as a rapper. So I asked my mother whether she wanted to have a son who was a first-place rapper, or a 5,000th-place student.",RM
I'm not the 'chosen one.' I'm just one of many who have been given gifts. I can write. I can bloviate on TV. So I'm trying to use the gifts in a positive way. And I believe that's all directed. And that's why I'm here on the planet.,Bill O'Reilly
I think I'm working on being a lot more positive in my everyday life because I realize comments and things can hurt.,Charli D'Amelio
I'm somebody who tries to remain positive and looks forward to setting goals and reaching them. But that's easier said than done.,CM Punk
"If you don't find time to meditate and get all that negative out, and if you don't have the right people being positive around you, this is a very scary job to have if you don't learn how to control your fear.",Nate Diaz
"Positive emotion alienated from the exercise of character leads to emptiness, to inauthenticity, to depression, and, as we age, to the gnawing realization that we are fidgeting until we die.",Martin Seligman
"I want to inspire people and show people no matter what happens, no matter how much you get knocked down, you can pick yourself up. Just keep pushing forward, keep being positive.",Drew McIntyre
I think we just need to keep moving forward in a positive way.,Ray J
There is something in even the darkest situations that we can make a positive in our lives.,Deborah Norville
"If someone says something hurtful to you or makes you feel down on yourself, then you just gotta stay positive and keep moving forward because they might not know much about you, or they may not understand the situation.",Jazz Jennings
"When you think positively, you attract positive people. If I'm on a mission to be successful, and I'm positive all the time, then more positive people will come around me, and we'll help each other. If you're negative, you'll find yourself surrounded by negative people.",Astro
Do you feel gloomy? Lift your eyes. Stand on your feet. Say a few words of appreciation and love to the Lord. Be positive.,Gordon B. Hinckley
"For, to be a stranger is naturally a very positive relation; it is a specific form of interaction.",Georg Simmel
"Research shows that when women are empowered as political leaders, countries often experience higher standards of living with positive developments in education, infrastructure, and health care.",Miriam Defensor-Santiago
Drink lots of water and get enough sleep. Try not to stress. Positive thoughts only!,Dahyun
"I am blood type O-positive, which I remember by staying 'optimistic positive.'",Michael Weatherly
I believe in throwing a lot of positive energy in the universe and hope for the best.,Vaani Kapoor
"I surround myself with positive, happy people. And I always try to balance things that I have to do with things that I want to do.",Nina Agdal
I always have positive intentions.,Roddy Ricch
"Unilever, Nestle and SAB Miller are all taking a long-term approach to investing in sustainable resource consumption. Each is driving through better resource management, which is expected to yield positive returns in the future.",Jacob Rothschild
"I'm a very positive person, but this whole concept of having to always be nice, always smiling, always happy, that's not real. It was like I was wearing a mask. I was becoming this perfectly chiselled sculpture, and that was bad. That took a long time to understand.",Alicia Keys
I wouldn't wish it on people but there is a positive side to a near-death experience. People used to ask me do you fancy doing this or that - and it was like I had a file of reasons in my head for not doing things. I would riffle through it until I found one. But I've dropped that.,Bob Mortimer
I've always been able to transform happiness and pain and sorrow and tears into positive energy.,Thalia
It's in the nature of Italians to live life with a positive tone and to celebrate the invitations that come along in life. Italian food is so conducive to all of that.,Lidia Bastianich
I'm a positive person who likes to have fun and get the best out of every day.,Eddie the Eagle
"I'm a big advocate of the power of positive thinking, particularly for small businesses.",Kevin Plank
"There are certain things about me that I will never tell to anyone because I am a very private person. But basically, what you see is who I am. I'm independent, I do like to be liked, I do look for the good side of life and people. I'm positive, I'm disciplined, I like my life in order, and I'm neat as a pin.",Mary Tyler Moore
Things can go away just like that. You got to be always respectful and nice and positive.,Rich Brian
I've learned that positive thinking and encouragement are essential for leadership and progress.,Richard M. DeVos
You should tell yourself frequently 'I will only react to constructive suggestions.' This gives you positive ammunition against your own negative thoughts and those of others.,Jane Roberts
I like to think of myself as a positive person. Otherwise I wouldn't have had a child.,Grace Jones
"Stress is a downward spiral, and you can only overcome it with a positive perspective.",Jen Lilley
A people without a positive history is like a vehicle without an engine.,Steven Biko
I want people to get positive energy from our music.,Suga
"Everything comes from your mind. You have to push yourself to get things going in your direction. If you are stubborn, nothing will help. If you are sad, nothing will help. You have to keep positive and to work very well for your next chance.",Henrikh Mkhitaryan
"As long as you're having fun and being positive and progressive, I'm going to say you're living a Zumbao lifestyle.",Taboo
"We can bring positive energy into our daily lives by smiling more, talking to strangers in line, replacing handshakes with hugs, and calling our friends just to tell them we love them.",Brandon Jenner
"I am a happy person and I choose to be a positive person. I think some people think my life has been tragic and there have been these horrible dramas but things really have been, and are, fine.",Patsy Kensit
"Sometimes in order for change to be made in a positive fashion, we must force ourselves to look unblinkingly at painful realities and reevaluate.",Jeffrey Bowyer-Chapman
I can't let time move on without fighting tooth and nail and hopefully being a part of a revolution that is positive.,Ian Somerhalder
"Properly used, positive reinforcement is extremely powerful.",B. F. Skinner
"You should also appreciate the goodness around you, and surround yourself with positive people.",Nadia Comaneci
And what we've lost sight of is that performing manual labor with your hands is one of the most incredibly satisfying and positive things you can do.,Nick Offerman
"There are very few things that I love more than being on stage and performing, but more than anything, I want to be a positive role model for teenage girls.",Lindsey Stirling
"Really you just gotta keep chugging along and keep a positive attitude and get through all the problems. You gotta face them, otherwise you don't get through.",Lesley Gore
What always draws me back to the Caribbean vibes are the upbeat vibrations of welcoming melodies and positive energy exchange through the rhythms that make you feel like dancing with someone.,Mya
Listening is a positive act: you have to put yourself out to do it.,David Hockney
I'm trying to spread positive vibes.,YBN Nahmir
"I think of feedback as constructive, not positive or negative. You choose to do what you want with it.",Denise Morrison
"When you in the positive light and good space, do everything to keep it that way and be real careful what you say and how you move because your world can come crashing down on you.",Tee Grizzley
"A lot of people deal with things that are bad. Once you've been through something, you grow from it and you take a lot in. You can always turn it into something positive.",Chino Moreno
"If we're stuck with having expectations, there's a very good reason to embrace positive ones: It's that we often create what we anticipate.",Martha Beck
"It's actually cool to be positive and optimistic and idealistic. It's cool to see yourself doing beautiful, great things.",Tom DeLonge
The most important thing is to stay positive.,Saku Koivu
"Education should learn from the positive side of gaming - reward, accomplishment, and fun.",Sebastian Thrun
I try to dig deep into my soul to figure out something positive in the pain. I think I go to certain places when I play to heal.,Mike McCready
Good news doesn't necessarily have to be a positive thing. Bringing good news is imparting hope to one's fellow man.,Patti Smith
"You fight, you try your best, but if you lose, you don't have to break five racquets and smash up the locker room. You can do those things, but when you've finished, nothing's changed. You've still lost. If something positive came from that, I probably would do it. But I see only negativity.",Rafael Nadal
"Art is not a study of positive reality, it is the seeking for ideal truth.",John Ruskin
"The Rise credo is about accepting no limits, alternative thinking, and driving positive change - the three pillars.",Anand Mahindra
"I've realized the extraordinary power of sports to heal, unite and inspire. I believe the Olympics will serve as the ultimate platform to provide positive changes and I hope to inspire all of Japan through my strong showing there.",Kohei Uchimura
"Much of a leader's responsibility in creating a positive, high-performance culture is setting the right tone and acting on it consistently. That day-to-day execution - the tenor and tone - really makes the difference. One deviation - one exasperating meeting - and the CEO legitimizes bad behavior.",Ron Williams
I like to keep my world positive. There's enough negativity kicking around.,Jim Root
I'm not here to discuss the past... I'm here to be positive.,Mark McGwire
I used to watch a lot of motivational films and videos to remain positive.,S. Sreesanth
The simple act of paying positive attention to people has a great deal to do with productivity.,Tom Peters
I have long recognized a link between fitness and mental health and I think we need to encourage young people to take part in sports and team activities because we know it has such positive results.,Tipper Gore
"Commitment, belief and positive attitude are all important if you're going to be a success, whether you're in sports, in business or, as in my case, anthropology.",Donald Johanson
"I don't think of myself as a role model for others, but I like to live my life by my own integrity. So, in that sense, I might be a positive influence. I do believe you should get over your insecurities and just try to be the best you can.",Lily Cole
You have to train your brain to be positive just like you work out your body.,Shawn Achor
"You hear certain things, negative things, all the time that aren't true, but you never hear about the positive.","Floyd Mayweather, Jr."
I'm always angry. I wake up angry. There is a lot to be angry about. Anger is a positive energy.,Thandie Newton
"If you look for things your partner does wrong, you can always find something. If you look for what he or she does right, you can always find something, too. It all depends on what you want to look for. Happy couples accentuate the positive.",Mark Goulston
Mental discipline and tenacity in the face of obstacles are traits that have greatly helped me in both my personal and professional journey thus far. I am also very optimistic by nature and tend to focus on the positive and remain hopeful when faced with adversity.,Priyamvada Natarajan
"When people hear the phrase 'risk-taker', two images come to mind. One is the negative idea of someone who's reckless and unpredictable, sometimes succeeding and at other times crashing out. The other is a more positive view of a fearless innovator who takes risks when others nervously stand back.",Norman Swan
"As a tennis player, you have to get used to losing every week. Unless you win the tournament, you always go home as a loser. But you have to take the positive out of a defeat and go back to work. Improve to fail better.",Stan Wawrinka
"I believe in collaboration, which is why I work with others to make positive contributions of consequence, and why I have made a very clear and unwavering commitment to remain absolutely apolitical.",Cliff Curtis
We expect all our businesses to have a positive impact on our top and bottom lines. Profitability is very important to us or we wouldn't be in this business.,Jeff Bezos
"In a position of utter desolation, when man cannot express himself in positive action, when his only achievement may consist in enduring his sufferings in the right way - an honorable way - in such a position man can, through loving contemplation of the image he carries of his beloved, achieve fulfillment.",Viktor E. Frankl
"In order to design a future of positive change, we must first become expert at changing our minds.",Jacque Fresco
Engineers in the developed world should be arguing not for protectionism but for trade agreements that seek to establish rules that result in a real rise in living standards. This will ensure that outsourcing is a positive force in the developing nation's economy and not an exploitative one.,Brian Behlendorf
"I was told that with the right attitude, and with enough hard work, if you get up after every time you fail, you can amount to something and you can do positive work. You can leave a positive mark for our world, and that's what I aim to do.",Jonny Kim
"When a person listens to a good song, and they can look out at the world and their lives and see the dark and the light, the negative and the positive, all the different elements, all come together in one holistic poem, that is a very healing and very reductive thing, and that's what my music is about.",Matisyahu
"Everybody has adversity in their lives and we all have to find ways of overcoming them. You've got to soldier on, make the best of it, look for the positive in everything.",Judith Durham
"I stay positive, keep positive energy to myself.",Metro Boomin
"If anybody has a bad day, they'll just come to my room because they know I'll bring out the positive in everything, or I'll make them laugh, or I'll be just crazy.",Simone Biles
"I'm a motivational speaker, so I'm going to look at something in as much of a positive way as possible.",Harris Faulkner
I don't want to be linked to anything negative. I don't want negative energy. I want everything positive around me.,Kendra Wilkinson
"When a person tests positive for HIV, it is not a test for the virus itself but for antibodies to the virus, and the test is not able to distinguish between HIV antibodies and a multitude of other antibodies. Many conditions can lead to a false positive result, including flu shots, hepatitis, and pregnancy.",Nate Mendel
I find humanism to be the most rational and positive philosophy for life. And it's not a new thing at all - the history of humanist thought is deep and inspiring.,Alice Roberts
"If my leg falls off, I'll get a prosthetic. There'd be no deep sadness about. I'd just get on with it! It's called life, and I love life. You have to be positive, and you have to crack on no matter what.",John Lydon
"I would like to do something dark or small. I love independent films. I love emotional scenes. I love people who are struggling with something. I think it's just the juxtaposition to my incredibly happy, positive demeanor.",Shailene Woodley
"To me success means effectiveness in the world, that I am able to carry my ideas and values into the world - that I am able to change it in positive ways.",Maxine Hong Kingston
"Somewhere along the line, positive thinking seems to have been confused with magical thinking. There's a notion that if you think positively enough, you can make anything happen by using the power of your mind. All the positive thinking in the world won't deliver good fortune or prevent tragedy from striking.",Amy Morin
"As we think of power in the 21st century, we want to get away from the idea that power's always zero sum - my gain is your loss and vice versa. Power can also be positive sum, where your gain can be my gain.",Joseph Nye
"When it comes to developing character strength, inner security and unique personal and interpersonal talents and skills in a child, no institution can or ever will compare with, or effectively substitute for, the home's potential for positive influence.",Stephen Covey
"And to me, fame is not a positive thing. The idea of being famous is a lot better than the reality. It's fantastic when you go to premieres and people cheer you, but it's not real. And it's totally not my approach to get my name on a club door just because I can.",Tom Felton
Disagreements are one of the fundamental positive aspects of science.,Anthony Fauci
"If a founder has passion and innovation, he needs to be supported. I am more intuitive than a numbers person, and I recognise that not all investments are going to be positive. Some may fail, and some may have problems for other reasons. That is life.",Ratan Tata
"I'm not drawn to actresses, but I have no rules about that. I just want to be around positive people. The toughest thing will be to find a girl who will be prepared to live in the middle of nowhere in the middle of the country. I don't think L.A.'s the place to find one.",Travis Fimmel
I try to be positive and calm all the time.,Dahyun
"The key thing about force protection is... if you focus too much on force protection, and you disengage yourself from the community, you're putting yourself at greater risk because you need to interact with the community in a positive way to gain the intelligence you need.",H. R. McMaster
"P is positive emotion, E is engagement, R is relationships, M is meaning and A is accomplishment. Those are the five elements of what free people chose to do. Pretty much everything else is in service of one of or more of these goals. That's the human dashboard.",Martin Seligman
"That's all I could ever hope for, to have a positive effect on women. 'Cos women are powerful, powerful beings. But they're also the most doubtful beings. They'll never know - we'll never know - how powerful we are.",Rihanna
"Honestly, I have had a very positive work environment and career at Fox News. I really like the people I work with.",Martha MacCallum
"Positive social emotions like compassion and empathy are generally good for us, and we want to encourage them. But do we know how to most reliably raise children to care about the suffering of other people? I'm not sure we do.",Sam Harris
"Effective altruism is a philosophy and social movement which tries to work out the most effective ways to improve the world. Effective altruists - conform to old-school utilitarian principles - consider all causes and actions, and then act in the way that they believe brings about the greatest positive impact.",Jens Martin Skibsted
People like to be around those who give off positive energy.,Erin Heatherton
"Museums are managers of consciousness. They give us an interpretation of history, of how to view the world and locate ourselves in it. They are, if you want to put it in positive terms, great educational institutions. If you want to put it in negative terms, they are propaganda machines.",Hans Haacke
A positive frame of mind will definitely enhance your travelling experience. If I'm not in a positive frame of mind then the whole thing definitely becomes more of a challenge for me.,Andrea Bocelli
"We succeed in enterprises which demand the positive qualities we possess, but we excel in those which can also make use of our defects.",Alexis de Tocqueville
"I think that true love, fairy tales, the positive messages of positive stories - I don't think those ever die. Sometimes we like to hide them in sarcasm or irony, but they are still there, and they still move us.",Jon M. Chu
"The more time goes by, the more things will happen to you in your life. And the ability to be positive throughout and look for the good in people, look for the good in situations - it's so important.",Jennifer Hyman
"The greatest gift of all time is that you can make creation infectious because people spend less time being negative... If you log all the time with negativity in the while world, I wonder how much better the world would be if people sat down and did something positive. It spirals.",Skrillex
"Don't get me wrong: there have been many occasions where I wished I could be thinner or have a different nose or hairline to fit in, but I realized that fitting in is not always as important as it seems; I realized that I love standing out in positive ways!",Nia Jax
"It would be really great if our music continues to touch people. Once your heart is moved, it will develop to something better and positive.",Jimin
Positive things come out of even the most difficult times.,Felipe Massa
"To stay positive, you have to be very strong mentally.",Memphis Depay
"My father taught my siblings and me the importance of positive values and a strong ethical compass. He showed us how to be resilient, how to deal with challenges, and how to strive for excellence in all that we do. He taught us that there's nothing that we cannot accomplish if we marry vision and passion with an enduring work ethic.",Ivanka Trump
"I came from a happy family with loving parents, so my associations with marriage and children were all happy, positive things that brought me comfort as a child, which I wanted in my life.",David Furnish
"All personality traits have their good side and their bad side. But for a long time, we've seen introversion only through its negative side and extroversion mostly through its positive side.",Susan Cain
I hope that others can turn their negative thoughts into positive thoughts and improve their own lives.,Farrah Abraham
I have very positive memories of reading biographies of unusual Americans as a child.,Chris Van Allsburg
"To me, the blues is an infection. I don't think it's necessarily a melancholy thing; the blues can be really positive and I think I think anyone and everyone can have a place for the blues. It need not always a woeful, sorrowful thing. It's more reflective; it reminds you to feel.",Mick Fleetwood
"One thing that hasn't changed, though, is that we still have to hear the new ad 2 or 3 times before it begins to affect us, even when we're already familiar with the advertiser in question and have a positive opinion of them.",Roy H. Williams
"Reggae has a philosophy, you know? It's not just entertainment. There's an idea behind it, a way of life behind the music, which is a positive way of life, which is a progressive way of life for better people.",Ziggy Marley
"I hope that, when I leave this planet, I will have touched a few people in a positive way. That's really what I hope I am remembered for the most.",Will Rothhaar
"It's all positive energy from me, man.",Swizz Beatz
"A positive attitude is a choice, like walking to the other side of a street to avoid trouble or making a 180-degree turn when you feel you're heading in the wrong direction.",Richard M. DeVos
You have to learn how to harness technology so you can use it for positive stuff without being disconnected from nature.,Talib Kweli
I love being around positive people and making people smile.,JaVale McGee
"You must be active; you must be positive, even if things don't go the way you want them to.",Norman Lloyd
"Dedicating some time to meditation is a meaningful expression of caring for yourself that can help you move through the mire of feeling unworthy of recovery. As your mind grows quieter and more spacious, you can begin to see self-defeating thought patterns for what they are, and open up to other, more positive options.",Sharon Salzberg
The ability to remain calm and focused in stressful situations is central to making positive decisions.,Goldie Hawn
"I begin each day with prayer and meditation. Throughout the day, I use affirmations and positive intentions to move through blocks, and each evening, I close the day with self-reflection and an inventory of my growth throughout the day.",Gabrielle Bernstein
I realized home is wherever you're surrounded by positive people who love and support you.,Snoh Aalegra
I am able to ride the bike and think clearly about strategy and tyres. I also have positive thinking. I am very constructively critical.,Valentino Rossi
"Self-love, it is obvious, remains always positive and active in our natures.",Gordon W. Allport
"Most of the luxuries and many of the so-called comforts of life are not only not indispensable, but positive hindrances to the elevation of mankind.",Henry David Thoreau
"Ambition has become a dirty word, and I believe it is a great evolutionary force for the positive. If people fail or go astray in their ambition I can live with it but not with people lowering their expectations, wasting time, slacking off and glorifying failure and stupidity.",Robert Greene
Do your best to spread positive messages.,Stephanie McMahon
The first thing successful people do is view failure as a positive signal to success.,Brendon Burchard
I take my forgetfulness in a positive stride because I also forget the problems.,Hina Khan
I think fitness is important. I think a healthy lifestyle is important. I think putting positive energy out there is important and just staying connected with the people.,LL Cool J
"Negative freedom is freedom from - freedom from oppression, whether it's a colonial power or addiction to alcohol oppressing you. You need to be freed from negative freedom. Positive freedom is freedom for, freedom to be. And that's what's routinely ignored today.",Os Guinness
Try to always stay focused on the objectives that are possible and the positive - and on having fun outside of the stuff that's going on in Washington.,Rush Limbaugh
I hope the millions of people I've touched have the optimism and desire to share their goals and hard work and persevere with a positive attitude.,Michael Jordan
"I try to be as positive as I can because I truly believe I am my feelings, and if I'm sad, if I have regrets, they will show up as illnesses, they will show up as cancers... I don't want that.",Marie Helvin
"I just felt it was my job to show that there is no easy way to success, and that anyone who gets even just one Top 40 hit deserves their moment in the sun. I accentuate the positive and eliminate the negative. That is the timeless thing.",Casey Kasem
I'd like to give out positive vibes and be surrounded by them as well.,Shriya Saran
Constructive criticism is about finding something good and positive to soften the blow to the real critique of what really went on.,Paula Abdul
His tenacity is unmatched in my opinion. Incredible how someone could have suffered that long and come back out of prison with such a good heart and positive things to say and do.,Maurice Ashley
"Suffering is the positive element in this world, indeed it is the only link between this world and the positive.",Franz Kafka
"When you're put in a position to really affect young people who are going to run the world one day, if you're able to be in their life at a young age and make a positive impact, I think that's a beautiful thing.",Zendaya
Nobody could've ever known I was positive because I didn't know.,Marc Wallice
"That first snowdrop, the flowering of the rose you pruned, a lettuce you grew from seed, the robin singing just for you. These are smallthings but all positive, all healing in a way that medicine tries to mimic.",Monty Don
"Financial institutions, the corporate world and civil society - all must uphold high standards of probity in their working. Only a genuine partnership between the Government and its people can bring about positive change to create a just society.",Pratibha Patil
"Earned success is the key to a positive, happy life.",Christian McCaffrey
"I just believe in the goodwill of people, the power of people to do something positive.",Eddie Izzard
Don't look at someone else and want to be them. Search within yourself and find out who you are and be someone positive.,Kelly Rowland
To be positive is to be mistaken at the top of one's voice.,Ambrose Bierce
We want to give people positive energy and we also want to comfort people.,Nayeon
Always stay positive and keep positive people around you.,Jeff Green
"I am usually positive and optimistic. If I get stressed or some results are not so good, I let it go by thinking, 'Oh well, it can be better next time.' I don't worry a lot, and I'm not too serious about anything.",G-Dragon
I do not expect the white media to create positive black male images.,Huey Newton
"You just keep a positive attitude no matter what comes in your way - challenges, roadblocks - don't let it faze you, and you can overcome anything.",Rose Namajunas
"Your Heavenly Father will help you find the right path as you seek His guidance. Remember though, after you pray you must get off your knees and start doing something positive; head in the right direction! He will send people along the way who will assist you, but you must be doing your part as well.",Margaret D. Nadauld
"I just say to anyone in life or in sport, don't let defeat bother you and don't let no one say you can't. Stay focused and stay positive and keep working hard.",Rocky Fielding
"The science of psychology has been far more successful on the negative than on the positive side... It has revealed to us much about man's shortcomings, his illnesses, his sins, but little about his potentialities, his virtues, his achievable aspirations, or his psychological health.",Abraham Maslow
"European nations began World War I with a glamorous vision of war, only to be psychologically shattered by the realities of the trenches. The experience changed the way people referred to the glamour of battle; they treated it no longer as a positive quality but as a dangerous illusion.",Virginia Postrel
"I try to be positive, and from 'Individual'... which was an angry record. I got a lot of mail from people pouring out their feelings, saying that they could really relate to certain topics that I touched upon. When I read that, it lets know that there are people out there that are people out there who are going through the same things.",Chuck Schuldiner
"Conserving energy and thus saving money, reducing consumption of unnecessary products and packaging and shifting to a clean-energy economy would likely hurt the bottom line of polluting industries, but would undoubtedly have positive effects for most of us.",David Suzuki
"All I would say is that when I've been very down or having kind of a tough time in my life, certain films or pieces of music or books have changed that. They've taken me out of a dark place and put me into a more positive one. And I think that if we can do that for people, then it's certainly worth doing.",Rupert Friend
"When the mind is empty, silent, when it is in a state of complete negation - which is not blankness, nor the opposite of being positive, but a totally different state in which all thought has ceased - only then is it possible for that which is unnameable to come into being.",Jiddu Krishnamurti
"We breathe life into a role, and it's overwhelming to receive positive feedback.",Sriti Jha
"I'm able to do motivational speaking all over the world and do so many positive things with my life because of my journey and the battles I've fought. Without cancer, I would have never had some of these opportunities, and I wouldn't be the man I am today.",Daniel Jacobs
I think part of being in the public eye is getting recognized and dealing with positive and negative scrutiny.,Tim Howard
"Do I feel any pressure as the most decorated Winter Olympian in American history? None at all. The only pressures that I know I face are those of how to pay it forward: How can I continually make a positive impact in people's lives, help others achieve their dreams, create their own Olympic mindset, creating champions within themselves?",Apolo Ohno
"If you so choose, even the unexpected setbacks can bring new and positive possibilities. If you so choose, you can find value and fulfillment in every circumstance.",Ralph Marston
The positive heuristic of the programme saves the scientist from becoming confused by the ocean of anomalies.,Imre Lakatos
"I had to overcome bullies and other people who didn't like me and tormented me. I overcame those things with positive affirmations and setting goals. When I would set goals, I wouldn't let anything get in the way of me breaking them. As I found success, a lot of those things subsided and became less important.",Jake Paul
"I get to a certain point where I just get so tired that I keep going. It creates a positive feedback loop in some ways - the more stress and work I put on me, the more stress and work I can deal with.",David Hogg
The most pressing ethical question is to make sure that everything you do from a scientific standpoint is done for the ultimate good and positive issue for the people that you're caring about.,Anthony Fauci
I like the fact that Tess Holliday is comfortable in her own skin and loves herself. I think that's a hugely positive message that women of all sizes really need to adopt.,Jameela Jamil
Neha is such a positive person and spreads such good vibes in all the lives she touches.,Angad Bedi
"You need to be able to manage stress because hard times will come, and a positive outlook is what gets you through.",Marie Osmond
"Why should conservationists have a positive interest in... farming? There are lots of reasons, but the plainest is: Conservationists eat.",Wendell Berry
"My philosophy is, I can't make every product that can possibly use a high-performance CPU and graphics. Why shouldn't I enable others, in a positive fashion, to leverage AMD IP in more places?",Lisa Su
"The visionary, industrious, Christian, and segregated black community of the early- to mid-1960s understood and embraced the importance of a positive self-perception. It was this same recognition that drove millions of young patriotic black men throughout our nation's history to be among the first to volunteer when our nation went to war.",Burgess Owens
"My dad was a very quiet person, and unbelievably tough. But my grandmother gave me my first look at negative thinking to bring about positive results. When I was just a little guy, anytime I came to my grandmother and said I wish for this or that, Grandma would say, 'If wishes were horses, beggars would ride.'",Bobby Knight
"I had a rough childhood coming up, and I just took all that negative energy and made it very positive for myself to drive me. I'm a very driven person. I have passion that almost scares people, just to be successful and make it no matter what.",David Goggins
Nothing will be beyond our reach when we make the flames of creating positive deeds flare up across the country with the virtues of the young vanguard as the initial spark and bring into full play the mounting vigour of the millions of young people.,Kim Jong-un
"Send out a cheerful, positive greeting, and most of the time you will get back a cheerful, positive greeting. It's also true that if you send out a negative greeting, you will, in most cases, get back a negative greeting.",Zig Ziglar
"Haiti, if you've ever met a Haitian person, they are just really positive, and literally, if you're friends with them, then they will do anything for you. So I think that's something that is, like, a really good trait, and I'm really happy that my grandparents and my dad's side of the family is like that.",Naomi Osaka
"Positive rights are the right to shelter, the right to education, the right to health care, the right to a living wage. These things are - these are, I would call them, more properly, political rights rather than positive rights. And they are extremely tricky, because now we are dealing with things that are zero sum.",P. J. O'Rourke
You can't go on living in past and having regrets. Its better people have a positive influence on other people's lives than worry about themselves.,Glenn McGrath
"If you show emotion in competition, temporarily, you'll be ineffective. If you're disciplined enough, you don't get down when you're behind, and you have a chance to create something positive.",Tom Landry
"It seems like what happens when we play games is that we go into a psychological state called eustress, or positive stress. It's basically the same as negative stress in the sense that we get our adrenaline up, you know, our breathing rate quickens, our pulse quickens.",Jane McGonigal
"If you quit every time you face a new challenge, giving up can change how you view yourself. You may begin to think you're weak or that you're a failure because you can't seem to stick with things long enough to see positive results.",Amy Morin
"Teaching's hard! You need different skills: positive reinforcement, keeping students from getting bored, commanding their attention in a certain way.",Bill Gates
"I have never, ever focused on the negative of things. I always look at the positive.",Sonia Sotomayor
I would like to make a building as intellectually driven as it is sculptural and as positive as it would be acceptable to hope.,Frank Gehry
"Good leaders need a positive agenda, not just an agenda of dealing with crisis.",Michael Porter
"I've received a lot of positive feedback from both the secular and Christian markets. People seem to be receiving it with open arms and hearts, and are interested in the stories I want to share about my relationship with God and my faith.",Brian Littrell
"One positive command he gave us: You shall love and honor your emperor. In every congregation a prayer must be said for the czar's health, or the chief of police would close the synagogue.",Mary Antin
"If we want children to learn to tend the land and nourish themselves and have conversations at the table, we need to communicate with them in ways that are positive.",Alice Waters
"If we just wanted positive emotions, our species would have died out a long time ago.",Martin Seligman
"Our external environment no longer seems to have any firm boundaries, any limits, or any positive cues about when to stop consuming anything. I mean, there is a reason that people get fat - it's easy and cheap to get high-calorie, tasty food.",Bob Harper
"I might rap about a lot of stuff, but that's just a reflection about what I've been through. But in real life, everything I do is positive.",21 Savage
"For to be poised against fatality, to meet adverse conditions gracefully, is more than simple endurance; it is an act of aggression, a positive triumph.",Thomas Mann
"You can't pretend to be witty because wit is dry, subtle, lacerating, cynical, elitist, and risque - all impossible to fake. Humor, on the other hand, is broad, soothing, positive, inclusive, and smutty - to make sure everybody gets it. Pretending to be humorous is easy, and a great many people are doing it.",Florence King
"I try to stay positive and keep my head up right, but I really do have a lot of anxiety.",NLE Choppa
"I'm a positive guy, even if I don't smile a lot.",James Arthur
"Some people can be president, some people can speak, some people, you know, anything that's positive, man - a dentist, a doctor. Just hang in there and never give up, and find out what is your talent. First you got to find your talent and just stick with your talent, and I guarantee you'll get there, man.",Juicy J
